日期,活動名稱,花費,曝光,點擊,轉換,轉換金額
2026-05-25,春季新品-主推-刷卡禮A,4900,33800,580,9,26500
2026-05-26,春季新品-主推-刷卡禮A,5100,34200,602,10,29000
2026-05-27,春季新品-主推-刷卡禮A,4850,33100,571,9,27200
2026-05-28,春季新品-主推-刷卡禮A,5200,34800,612,11,32000
2026-05-29,春季新品-主推-刷卡禮A,5400,35200,628,12,35500
2026-05-30,春季新品-主推-刷卡禮A,5100,34400,594,11,33000
2026-05-31,春季新品-主推-刷卡禮A,5050,33900,587,10,30000
2026-06-01,春季新品-主推-刷卡禮A,5300,34800,615,11,33800
2026-06-02,春季新品-主推-刷卡禮A,5050,34000,592,10,30200
2026-06-03,春季新品-主推-刷卡禮A,5200,35100,610,10,29800
2026-06-04,春季新品-主推-刷卡禮A,4900,34600,588,9,27300
2026-06-05,春季新品-主推-刷卡禮A,5100,35000,600,10,29200
2026-06-06,春季新品-主推-刷卡禮A,4850,34400,580,9,26800
2026-06-07,春季新品-主推-刷卡禮A,5000,35200,595,9,27600
2026-05-25,問題肌膚-鎖水修護,1750,13800,118,2,4800
2026-05-26,問題肌膚-鎖水修護,1800,14100,124,2,4800
2026-05-27,問題肌膚-鎖水修護,1820,14200,127,3,7200
2026-05-28,問題肌膚-鎖水修護,1750,13900,118,2,4800
2026-05-29,問題肌膚-鎖水修護,1700,13600,114,2,4800
2026-05-30,問題肌膚-鎖水修護,1820,14200,125,2,4800
2026-05-31,問題肌膚-鎖水修護,1860,14500,124,1,2400
2026-06-01,問題肌膚-鎖水修護,1850,14400,120,1,2400
2026-06-02,問題肌膚-鎖水修護,1800,14100,118,1,2400
2026-06-03,問題肌膚-鎖水修護,1820,14300,116,2,4800
2026-06-04,問題肌膚-鎖水修護,1750,13900,114,1,2400
2026-06-05,問題肌膚-鎖水修護,1700,13600,108,1,2400
2026-06-06,問題肌膚-鎖水修護,1680,13500,108,1,2400
2026-06-07,問題肌膚-鎖水修護,1730,13700,110,1,2400
2026-05-25,再行銷-加購未結帳7天,2200,9800,265,7,24500
2026-05-26,再行銷-加購未結帳7天,2150,9600,260,7,24500
2026-05-27,再行銷-加購未結帳7天,2100,9500,256,6,21000
2026-05-28,再行銷-加購未結帳7天,2180,9700,266,7,24500
2026-05-29,再行銷-加購未結帳7天,2250,9900,275,8,28000
2026-05-30,再行銷-加購未結帳7天,2200,9800,268,7,24500
2026-05-31,再行銷-加購未結帳7天,2200,9700,262,7,24500
2026-06-01,再行銷-加購未結帳7天,2180,9800,266,7,24500
2026-06-02,再行銷-加購未結帳7天,2150,9700,262,7,24500
2026-06-03,再行銷-加購未結帳7天,2200,9800,268,7,24500
2026-06-04,再行銷-加購未結帳7天,2150,9600,260,7,24500
2026-06-05,再行銷-加購未結帳7天,2180,9700,264,7,24500
2026-06-06,再行銷-加購未結帳7天,2200,9800,268,7,24500
2026-06-07,再行銷-加購未結帳7天,2150,9700,260,7,24500
