活動名稱,花費,曝光,點擊,轉換,轉換金額,目標客群,版位
春季新品-主推-刷卡禮A,35200,245000,4180,68,198400,25-34女性興趣購物美妝,動態消息
春季新品-主推-刷卡禮B,28400,198500,3220,52,156000,25-34女性興趣品牌購物,動態消息
問題肌膚-鎖水修護,12300,98700,820,12,28800,25-44男性興趣健身,動態消息
夏季預熱-限時美妝,18900,156000,1980,22,52800,18-30興趣限時搶購,Reels
問題肌膚-美妝-LAL3%,8600,72400,920,14,36400,LAL3%-高客單價類似客群,動態消息
新客拓展-IG探索,6200,58200,480,6,18000,18-24女性興趣美妝,Reels
喚回新客-寵物興趣,8400,102500,540,3,7200,25-34女性興趣寵物,動態消息
男裝拓展-限時禮,9200,78400,820,5,12000,25-44男性興趣服飾,動態消息
再行銷-加購未結帳7天,15200,68400,1860,48,168000,加入購物車未結帳-7天,動態消息
再行銷-瀏覽商品14天,9800,52300,1240,28,92400,瀏覽商品未結帳-14天,動態消息
再行銷-觀看影片75%,5400,38200,620,16,48000,觀看影片75%-30天,Story
再行銷-IG帳號互動,4200,28400,540,12,40800,IG帳號互動-30天,Story
品牌形象-廣泛美妝,6800,152400,1420,8,18400,廣泛客群18-44,動態消息
品牌形象-影片廣告,4500,88500,720,4,9600,廣泛客群18-44,Reels
母親節檔期-主打,18400,142100,2720,42,134000,30-44女性已婚,Story
母親節檔期-禮盒組,12400,88100,1420,26,78000,30-44女性已婚,動態消息
加購誘導-結帳後一天,6800,38500,680,22,79200,加購未結帳+瀏覽,Story
回購-3個月內,4500,18200,540,28,98000,3個月內購買過,動態消息
回購-6個月內,3200,14800,380,18,64800,6個月內購買過,動態消息
VIP-高消費名單,2400,8200,320,22,85800,高消費VIP名單,動態消息
加碼測試-小預算A,3200,21500,310,9,28500,25-34女性興趣美妝,Reels
加碼測試-小預算B,2800,18400,280,7,21000,25-34女性興趣保養,Reels
UGC素材測試,4200,36800,520,11,33000,25-34女性興趣美妝,Story
新切面測試-9比16,3600,28200,410,8,24000,18-30興趣美妝,Reels
純素材測試-無轉換,3600,28400,280,0,0,25-44男性興趣科技,動態消息
